Estacion,Periodo,media,varianza
DJF,1921-1950,-0.03103448275862069,0.05668103448275863
DJF,1951-1980,-0.0023333333333333374,0.05038402298850574
DJF,1981-2010,0.519,0.07924379310344828
JJA,1921-1950,-0.05862068965517242,0.021040886699507388
JJA,1951-1980,0.0006666666666666663,0.014537471264367814
JJA,1981-2010,0.397,0.06818034482758621
MAM,1921-1950,-0.04586206896551724,0.031060837438423656
MAM,1951-1980,9.251858538542971e-19,0.02510344827586207
MAM,1981-2010,0.5066666666666666,0.07634022988505745
SON,1921-1950,0.07896551724137932,0.027373891625615765
SON,1951-1980,-0.001333333333333331,0.026384367816091953
SON,1981-2010,0.42600000000000005,0.1113903448275862
